video_title,video_views
NewJeans (뉴진스) 'How Sweet' Official MV,觀看次數：3048萬次
NewJeans (뉴진스) 'ETA' Official MV,觀看次數：7968萬次
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),觀看次數：2.6億次
NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.1),觀看次數：1.8億次
NewJeans (뉴진스) 'Cookie' Official MV,觀看次數：9899萬次
NewJeans (뉴진스) ‘Supernatural’ Official MV (Part.1),觀看次數：2041萬次
NewJeans (뉴진스) 'ASAP' Official MV,觀看次數：2771萬次
NEWJEANS - ETA | Lyric MV | Kinetic Typography,觀看次數：90次
NewJeans (뉴진스) 'Attention' Official MV,觀看次數：148萬次
NewJeans (뉴진스) 'Bubble Gum' Official MV,觀看次數：1359萬次
NewJeans (뉴진스) 'Super Shy' Official MV,觀看次數：5373萬次
NewJeans (뉴진스) 'Ditto' Official MV (side A),觀看次數：4萬次
NewJeans (뉴진스) 'Hurt' Official MV,觀看次數：4614次
NewJeans (뉴진스) 'New Jeans' Official MV,觀看次數：1646次
NewJeans (뉴진스) 'Right Now' Official MV,觀看次數：14萬次
NewJeans (뉴진스) 'OMG' Official MV,觀看次數：2億次
NewJeans (뉴진스) 'Attention' Official MV (Performance ver.),觀看次數：4616萬次
